__run_id,__done,data_type,avg_cpu,total_energy,,,,,,,,,,,
run_0,DONE,txt-small-low-1, , ,"{0: '2023-10-05 13:35:20', 1: '2023-10-05 13:35:21'}","{0: 0.33673, 1: 0.2551}","{0: 3.81259, 1: 3.44243}","{0: 3.81259, 1: 3.44243}","{0: 0.0, 1: 0.0}","{0: 1.7513631010219974, 1: 1.7513631010219974}","{0: 1.0, 1: 1.0}","{0: 3995.3740234375, 1: 3995.3740234375}","{0: 7.25502, 1: 7.25502}","{0: 0.295915, 1: 0.295915}","{0: 1861.0234581851491, 1: 1861.0234581851491}"
run_1,DONE,txt-small-low-2, , ,"{0: '2023-10-05 13:35:24', 1: '2023-10-05 13:35:25'}","{0: 0.2398, 1: 0.31888}","{0: 3.37303, 1: 3.73162}","{0: 3.37303, 1: 3.73162}","{0: 0.0, 1: 0.0}","{0: 1.7566742427025976, 1: 1.7566742427025976}","{0: 1.0, 1: 1.0}","{0: 3519.4404296875, 1: 3519.4404296875}","{0: 7.1046499999999995, 1: 7.1046499999999995}","{0: 0.27934000000000003, 1: 0.27934000000000003}","{0: 1773.3636492603807, 1: 1773.3636492603807}"
run_2,DONE,txt-small-low-3, , ,"{0: '2023-10-05 13:35:28', 1: '2023-10-05 13:35:29'}","{0: 0.23724, 1: 0.2525}","{0: 3.36146, 1: 3.43064}","{0: 3.36146, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.7525687707109205, 1: 1.7525687707109205}","{0: 1.0, 1: 1.0}","{0: 4112.287109375, 1: 4112.287109375}","{0: 6.7921, 1: 6.7921}","{0: 0.24487, 1: 0.24487}","{0: 2472.5425593155956, 1: 2472.5425593155956}"
run_3,DONE,txt-small-low-4, , ,"{0: '2023-10-05 13:35:32', 1: '2023-10-05 13:35:33'}","{0: 0.2449, 1: 0.25}","{0: 3.39616, 1: 3.4193}","{0: 3.39616, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7476822736795405, 1: 1.7476822736795405}","{0: 1.0, 1: 1.0}","{0: 3383.83984375, 1: 3383.83984375}","{0: 6.81546, 1: 6.81546}","{0: 0.24745, 1: 0.24745}","{0: 2006.44457912847, 1: 2006.44457912847}"
run_4,DONE,txt-small-low-5, , ,"{0: '2023-10-05 13:35:35', 1: '2023-10-05 13:35:36'}","{0: 0.23724, 1: 0.2525}","{0: 3.36146, 1: 3.43064}","{0: 3.36146, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.7465461522988877, 1: 1.7465461522988877}","{0: 1.0, 1: 1.0}","{0: 3439.65234375, 1: 3439.65234375}","{0: 6.7921, 1: 6.7921}","{0: 0.24487, 1: 0.24487}","{0: 2068.116010135315, 1: 2068.116010135315}"
run_5,DONE,txt-small-low-6, , ,"{0: '2023-10-05 13:35:39', 1: '2023-10-05 13:35:40'}","{0: 0.23724, 1: 0.2525}","{0: 3.36146, 1: 3.43064}","{0: 3.36146, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.7510116420212296, 1: 1.7510116420212296}","{0: 1.0, 1: 1.0}","{0: 3041.6103515625, 1: 3041.6103515625}","{0: 6.7921, 1: 6.7921}","{0: 0.24487, 1: 0.24487}","{0: 1828.7903648430195, 1: 1828.7903648430195}"
run_6,DONE,txt-small-low-7, , ,"{0: '2023-10-05 13:35:42', 1: '2023-10-05 13:35:43'}","{0: 0.23724, 1: 0.2525}","{0: 3.36146, 1: 3.43064}","{0: 3.36146, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.752669432128431, 1: 1.752669432128431}","{0: 1.0, 1: 1.0}","{0: 3577.6943359375, 1: 3577.6943359375}","{0: 6.7921, 1: 6.7921}","{0: 0.24487, 1: 0.24487}","{0: 2151.1147627949213, 1: 2151.1147627949213}"
run_7,DONE,txt-small-low-8, , ,"{0: '2023-10-05 13:35:46', 1: '2023-10-05 13:35:47'}","{0: 0.23958, 1: 0.25}","{0: 3.37207, 1: 3.4193}","{0: 3.37207, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7507518321507454, 1: 1.7507518321507454}","{0: 1.0, 1: 1.0}","{0: 3982.306640625, 1: 3982.306640625}","{0: 6.79137, 1: 6.79137}","{0: 0.24479, 1: 0.24479}","{0: 2395.4308245901584, 1: 2395.4308245901584}"
run_8,DONE,txt-small-low-9, , ,"{0: '2023-10-05 13:35:50', 1: '2023-10-05 13:35:51'}","{0: 0.23469, 1: 0.25}","{0: 3.3499, 1: 3.4193}","{0: 3.3499, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7502302386407231, 1: 1.7502302386407231}","{0: 1.0, 1: 1.0}","{0: 3937.8720703125, 1: 3937.8720703125}","{0: 6.7692, 1: 6.7692}","{0: 0.242345, 1: 0.242345}","{0: 2400.4363429840214, 1: 2400.4363429840214}"
run_9,DONE,txt-small-low-10, , ,"{0: '2023-10-05 13:35:54', 1: '2023-10-05 13:35:55'}","{0: 0.24235, 1: 0.2475}","{0: 3.3846, 1: 3.40796}","{0: 3.3846, 1: 3.40796}","{0: 0.0, 1: 0.0}","{0: 1.7501178552683874, 1: 1.7501178552683874}","{0: 1.0, 1: 1.0}","{0: 3564.6259765625, 1: 3564.6259765625}","{0: 6.79256, 1: 6.79256}","{0: 0.244925, 1: 0.244925}","{0: 2142.6309185962477, 1: 2142.6309185962477}"
