,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
0,huffman-txt-small-low-1,1.747710608892636,10.0,18195.08203125,37.84045,0.2545736363636364,1888.792716582584
1,huffman-txt-small-low-2,1.7408448770206244,9.0,17397.4375,34.329519999999995,0.253012,2002.9791763074809
2,huffman-txt-small-low-3,1.7487836353180424,9.0,17206.5009765625,34.22415,0.250687,2005.524998079672
3,huffman-txt-small-low-4,1.7487868977993852,11.0,20882.0556640625,41.10535,0.251355,2021.0979889541431
4,huffman-txt-small-low-5,1.7506886948750378,11.0,20372.6083984375,41.34853,0.255825,1925.943667243372
5,huffman-txt-small-low-6,1.74446348728023,11.0,18817.029296875,41.04974,0.2503341666666667,1831.1356686924264
6,huffman-txt-small-low-7,1.735881277756563,11.0,19011.1435546875,40.75914,0.2449933333333333,1903.8334918697587
7,huffman-txt-small-low-8,1.7509369696862702,11.0,18609.5146484375,40.7955,0.2456616666666667,1856.8866429599832
8,huffman-txt-small-low-9,1.746869487700954,10.0,17789.0439453125,37.38628,0.2454690909090909,1938.4006177144065
9,huffman-txt-small-low-10,1.7519729199435683,10.0,17982.4990234375,37.80867,0.2539372727272727,1872.9759205216408
10,huffman-txt-small-high-1,1.6825275962966375,12.0,18691.634765625,44.3222,0.2478161538461538,1701.7523728529486
11,huffman-txt-small-high-2,1.685132659457686,13.0,20502.8203125,47.62931,0.246205,1748.4066397368404
12,huffman-txt-small-high-3,1.6766287335852157,12.0,19348.9677734375,44.25542000000001,0.2466846153846154,1772.349100709033
13,huffman-txt-small-high-4,1.679660002158908,13.0,21127.1435546875,47.98943,0.2518792857142857,1747.844284196549
14,huffman-txt-small-high-5,1.6785810608899294,13.0,20523.6875,47.49727,0.2441264285714285,1769.994623802897
15,huffman-txt-small-high-6,1.6777774623332165,11.0,18161.8076171875,40.74395,0.2447133333333333,1821.5383033893936
16,huffman-txt-small-high-7,1.6766144913025882,12.0,19735.2958984375,44.212140000000005,0.2459492307692308,1814.9164505822328
17,huffman-txt-small-high-8,1.679978970576306,12.0,19998.220703125,44.51518,0.2510907692307692,1789.1735780037434
18,huffman-txt-small-high-9,1.678670012960391,12.0,19313.66015625,44.29185,0.2473015384615385,1763.250220035658
19,huffman-txt-small-high-10,1.6767138288522505,13.0,20374.853515625,47.53366999999999,0.2446999999999999,1751.6977774549605
20,huffman-txt-large-low-1,1.6929979930410306,79.0,120577.630859375,260.38888000000003,0.2515152631578947,1841.1109781568252
21,huffman-txt-large-low-2,1.6890542466937344,74.0,115779.3330078125,250.11925,0.2515416438356164,1840.2381543183387
22,huffman-txt-large-low-3,1.7381816737286224,53.0,83893.3134765625,178.42066,0.2526163461538461,1861.3187704827997
23,huffman-txt-large-low-4,1.7476750197290367,58.0,97319.720703125,202.04485999999997,0.2511445762711864,1917.9145055404208
24,huffman-txt-large-low-5,1.7143577520825664,55.0,85934.5517578125,185.42715,0.2532055555555555,1830.295712803122
25,huffman-txt-large-low-6,1.6941284162804755,66.0,98323.986328125,218.93546,0.250345625,1793.9212055429527
26,huffman-txt-large-low-7,1.673291061049211,69.0,106463.294921875,229.63664,0.2517886567164179,1841.2915425734495
27,huffman-txt-large-low-8,1.6769056421090476,71.0,111482.880859375,241.32566,0.2562214285714286,1802.9730370029145
28,huffman-txt-large-low-9,1.6789237739540193,62.0,92636.4697265625,203.01614,0.2547752542372881,1790.994228844741
29,huffman-txt-large-low-10,1.7463403179071812,61.0,96967.0078125,207.79871,0.2471850819672131,1887.812643751868
30,huffman-txt-large-high-1,1.678274354414119,53.0,75985.3974609375,175.4369,0.254551568627451,1701.5057347411648
31,huffman-txt-large-high-2,1.6879016604829225,49.0,71380.1923828125,179.64467000000005,0.3388591489361702,1172.58453490206
32,huffman-txt-large-high-3,1.6777872958575706,45.0,68602.701171875,206.2853,0.4849065217391304,685.8275229485395
33,huffman-txt-large-high-4,1.6769585599314178,57.0,80545.41796875,185.06674,0.2517342592592592,1728.9010605277
34,huffman-txt-large-high-5,1.684232955687602,46.0,72132.15625,161.90377,0.2556151063829787,1742.9520396639734
35,huffman-txt-large-high-6,1.6860373543544795,48.0,74025.66015625,168.93165,0.2562377551020408,1710.126135694415
36,huffman-txt-large-high-7,1.6839157367392912,51.0,78182.8740234375,178.66033000000002,0.2536338461538462,1725.3463596410315
37,huffman-txt-large-high-8,1.6705690477558597,55.0,82544.537109375,189.55226000000005,0.2559778181818182,1701.2065124566898
38,huffman-txt-large-high-9,1.6784882241831718,44.0,67187.1181640625,148.00555999999995,0.255003953488372,1780.1683252997802
39,huffman-txt-large-high-10,1.6833751819752538,59.0,87495.9140625,200.10778,0.2568003448275862,1702.661029707872
40,huffman-pdf-small-low-1,1.0294552370946295,24.0,2037.3955078125,86.06985999999999,0.2551815999999999,92.76302265709958
41,huffman-pdf-small-low-2,1.0286462991172258,26.0,2072.376953125,92.5809,0.2521222222222222,88.78431108069228
42,huffman-pdf-small-low-3,1.0295953372455735,23.0,1911.462890625,82.59794,0.25491375,90.78276227386056
43,huffman-pdf-small-low-4,1.0281854428180413,29.0,2258.734375,102.54649,0.2497613333333333,88.18996238557615
44,huffman-pdf-small-low-5,1.0291377386188998,23.0,1913.875,82.66843,0.2555624999999999,90.58926829727024
45,huffman-pdf-small-low-6,1.0289691721557142,27.0,2146.8125,95.89366,0.2512078571428571,89.11914302589584
46,huffman-pdf-small-low-7,1.0291711901408236,26.0,2128.439453125,92.77853,0.2537366666666666,90.41293821142096
47,huffman-pdf-small-low-8,1.0283199338352922,25.0,2034.240234375,89.06917,0.25142,90.8395580040048
48,huffman-pdf-small-low-9,1.0295859869215926,27.0,2208.5400390625,96.43969,0.2555082142857142,89.6281855635159
49,huffman-pdf-small-low-10,1.0286467346465442,24.0,1901.42578125,85.62831999999999,0.2512872,88.36730040002881
50,huffman-pdf-small-high-1,1.009381007474764,15.0,402.2216796875,54.75008,0.250569375,29.319241279469697
51,huffman-pdf-small-high-2,1.0092653051774865,16.0,427.9501953125,58.72202,0.2577047058823529,28.279380613505506
52,huffman-pdf-small-high-3,1.009606590332267,14.0,381.5634765625,51.2401,0.2492746666666666,29.872989369030584
53,huffman-pdf-small-high-4,1.0089367891025478,18.0,447.7646484375,64.39218,0.2433321052631579,28.57704117385896
54,huffman-pdf-small-high-5,1.0093841693194163,14.0,394.427734375,51.717290000000006,0.2562893333333333,29.75782284050504
55,huffman-pdf-small-high-6,1.0094413044728696,15.0,404.8984375,54.98581,0.25381875,29.01160613487093
56,huffman-pdf-small-high-7,1.0092800005079403,16.0,433.9091796875,58.34047,0.2527547058823529,29.425893873418868
57,huffman-pdf-small-high-8,1.0095617004509396,15.0,414.947265625,54.8507,0.25195625,30.02517841938231
58,huffman-pdf-small-high-9,1.0094273827589533,17.0,449.267578125,62.0486,0.2561405555555556,28.267977975556764
59,huffman-pdf-small-high-10,1.0088862413165471,18.0,449.4248046875,65.07293,0.2512331578947369,27.490315184513328
60,huffman-pdf-large-low-1,1.02726433950978,40.0,3012.994140625,137.47843999999998,0.25389525,86.31953967977137
61,huffman-pdf-large-low-2,1.0272897229582518,39.0,3013.8388671875,137.63423999999998,0.25475425,85.9551895357398
62,huffman-pdf-large-low-3,1.0266360874973854,40.0,3039.0234375,141.66443,0.2579241463414634,83.1727821718809
63,huffman-pdf-large-low-4,1.0279332832410784,40.0,3107.009765625,141.72046000000003,0.2582258536585366,84.90051861918847
64,huffman-pdf-large-low-5,1.0257299869468095,36.0,2678.6279296875,127.63869,0.2567037837837838,81.75188673734942
65,huffman-pdf-large-low-6,1.0245531512896509,29.0,2021.556640625,103.08240999999995,0.2537006666666667,77.30004416898677
66,huffman-pdf-large-low-7,1.0239468141653731,45.0,2992.0419921875,159.29855000000003,0.259640652173913,72.34077720509164
