,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
0,huffman-txt-small-low-1,1.7513631010219974,1.0,3995.3740234375,6.79233,0.2449,2401.872108167593
1,huffman-txt-small-low-2,1.7566742427025976,1.0,3519.4404296875,6.7692,0.242345,2145.3700281631413
2,huffman-txt-small-low-3,1.7525687707109203,1.0,4112.287109375,6.86173,0.25255,2373.025638304934
3,huffman-txt-small-low-4,1.7476822736795403,1.0,3383.83984375,6.79233,0.2449,2034.2402216993469
4,huffman-txt-small-low-5,1.7465461522988877,2.0,3439.65234375,6.79233,0.2449,2067.7926466414724
5,huffman-txt-small-low-6,1.7510116420212296,1.0,3041.6103515625,6.815,0.2474,1804.006184680175
6,huffman-txt-small-low-7,1.752669432128431,1.0,3577.6943359375,6.7692,0.242345,2180.8802710523137
7,huffman-txt-small-low-8,1.7507518321507454,1.0,3982.306640625,6.81546,0.24745,2361.304890439036
8,huffman-txt-small-low-9,1.7502302386407231,1.0,3937.8720703125,6.815,0.2474,2335.5869911718705
9,huffman-txt-small-low-10,1.7501178552683874,1.0,3564.6259765625,6.79233,0.2449,2142.9222042618285
10,huffman-txt-small-low-11,1.7462233585362483,1.0,3935.6708984375,7.96748,0.37448,1319.0740159664638
11,huffman-txt-small-low-12,1.705800274522647,1.0,3731.478515625,6.81547,0.247445,2212.6180570719257
12,huffman-txt-small-low-13,1.7499716438577864,1.0,3751.5771484375,7.770469999999999,0.352755,1368.653194877072
13,huffman-txt-small-low-14,1.7506621690809347,2.0,4097.8251953125,10.06075,0.2355066666666666,1729.4972089364755
14,huffman-txt-small-low-15,1.7494835809107203,1.0,4240.54296875,6.74606,0.2397949999999999,2621.3870242720304
15,huffman-txt-small-low-16,1.7458898741546869,1.0,3903.509765625,6.79233,0.244895,2346.6946019336774
16,huffman-txt-small-low-17,1.747591402439597,1.0,3806.984375,6.79233,0.2449,2288.619171297312
17,huffman-txt-small-low-18,1.7494144067545498,1.0,3877.6875,6.76873,0.2422949999999999,2364.401160380673
18,huffman-txt-small-low-19,1.7528719983576544,1.0,3577.767578125,6.7692,0.242345,2180.9249178071027
19,huffman-txt-small-low-20,1.752377899981978,1.0,3771.12890625,6.7692,0.242345,2298.7935410308314
20,huffman-txt-small-low-21,1.7479437154283053,1.0,3755.0185546875,6.79137,0.24479,2258.712852758804
21,huffman-txt-small-low-22,1.7462856771701587,1.0,4129.1337890625,6.79326,0.245,2480.930702239561
22,huffman-txt-small-low-23,1.7497299850976216,1.0,3834.1279296875,6.76775,0.24219,2339.1931566152307
23,huffman-txt-small-low-24,1.751193480911442,1.0,3649.0947265625,6.79233,0.2449,2193.701714126646
24,huffman-txt-small-low-25,1.7539954000869762,1.0,3553.94921875,6.79233,0.2449,2136.503729634654
25,huffman-txt-small-low-26,1.7508307894548785,1.0,3632.2333984375,6.951029999999999,0.2623999999999999,1991.4103219791623
26,huffman-txt-small-low-27,1.7230487181491547,1.0,3450.5537109375,7.56734,0.330355,1380.2719439702516
27,huffman-txt-small-low-28,1.7530353180118887,1.0,4104.5263671875,6.815,0.2474,2434.43113868458
28,huffman-txt-small-low-29,1.746289158997352,1.0,3444.361328125,6.81546,0.24745,2042.3307350496243
29,huffman-txt-small-low-30,1.746658097195848,1.0,3248.0888671875,6.90615,0.25745,1826.8336384541512
30,huffman-txt-small-low-31,1.7563272398074,1.0,3548.2021484375,6.81546,0.24745,2103.9030495293114
31,huffman-txt-small-low-32,1.7491033896645647,1.0,3646.2666015625,6.62054,0.225955,2437.43503737524
32,huffman-txt-small-low-33,1.7477235560683333,1.0,3861.9052734375,6.74653,0.239845,2386.659655925352
33,huffman-txt-small-low-34,1.727937636905811,1.0,3718.443359375,6.79233,0.2449,2235.3915649177848
34,huffman-txt-small-low-35,1.7468344968767149,1.0,3424.83203125,6.81546,0.24745,2030.75085726037
35,huffman-txt-small-low-36,1.7480654974637728,1.0,3939.943359375,6.79233,0.2449,2368.549228965816
36,huffman-txt-small-low-37,1.7476292855998536,1.0,3796.2578125,6.81546,0.24745,2250.9874168345764
37,huffman-txt-small-low-38,1.744383569403953,1.0,3593.0537109375,6.79137,0.24479,2161.288014786561
38,huffman-txt-small-low-39,1.750229246223682,1.0,3182.3076171875,6.79233,0.2449,1913.086449602457
39,huffman-txt-small-low-40,1.75167989532372,1.0,3361.603515625,6.81546,0.24745,1993.259569764468
40,huffman-txt-small-low-41,1.7440662281150454,1.0,3416.375,6.81546,0.24745,2025.7362687187688
41,huffman-txt-small-low-42,1.748658902101917,1.0,3188.6376953125,6.8386,0.25,1865.082148575732
42,huffman-txt-small-low-43,1.748000049218085,1.0,3918.1484375,7.48822,0.321635,1626.818069716572
43,huffman-txt-small-low-44,1.7463326967278288,1.0,4095.6376953125,6.81546,0.24745,2428.504430259056
44,huffman-txt-small-low-45,1.7439992870629015,1.0,3807.3974609375,6.815,0.2474,2258.2013384911074
45,huffman-txt-small-low-46,1.7517638834477471,1.0,4042.119140625,6.88486,0.255105,2301.415457996318
46,huffman-txt-small-low-47,1.7521947118539971,2.0,4286.6416015625,10.23476,0.2483,1686.7968905362725
47,huffman-txt-small-low-48,1.751839113845278,1.0,4292.25390625,6.79233,0.2449,2580.345388971953
48,huffman-txt-small-low-49,1.749584177314486,1.0,3140.1201171875,6.79233,0.2449,1887.724874198275
49,huffman-txt-small-low-50,1.7487531462080543,1.0,4086.896484375,6.79233,0.2449,2456.89204995705
