,Unnamed: 0,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency,size,entropy
0,0,huffman-txt-small-low-1,1.7513631010219974,1.0,3995.3740234375,6.79233,0.2449,2401.872108167593,9312.875,4.527257717592509
1,1,huffman-txt-small-low-2,1.7566742427025976,1.0,3519.4404296875,6.7692,0.242345,2145.3700281631413,8170.63671875,4.513249453008869
2,2,huffman-txt-small-low-3,1.7525687707109203,1.0,4112.287109375,6.86173,0.25255,2373.025638304934,9576.62109375,4.521127564376937
3,3,huffman-txt-small-low-4,1.7476822736795403,1.0,3383.83984375,6.79233,0.2449,2034.2402216993469,7909.6123046875,4.529559853679855
4,4,huffman-txt-small-low-5,1.7465461522988877,2.0,3439.65234375,6.79233,0.2449,2067.7926466414724,8047.0732421875,4.536223087151678
5,5,huffman-txt-small-low-6,1.7510116420212296,1.0,3041.6103515625,6.815,0.2474,1804.006184680175,7091.6279296875,4.520728136724447
6,6,huffman-txt-small-low-7,1.752669432128431,1.0,3577.6943359375,6.7692,0.242345,2180.8802710523137,8331.03515625,4.520851614105217
7,7,huffman-txt-small-low-8,1.7507518321507454,1.0,3982.306640625,6.81546,0.24745,2361.304890439036,9286.7314453125,4.527070396076679
8,8,huffman-txt-small-low-9,1.7502302386407231,1.0,3937.8720703125,6.815,0.2474,2335.5869911718705,9186.7568359375,4.524757179239517
9,9,huffman-txt-small-low-10,1.7501178552683874,1.0,3564.6259765625,6.79233,0.2449,2142.9222042618285,8316.7138671875,4.528227559971228
10,10,huffman-txt-small-low-11,1.7462233585362483,1.0,3935.6708984375,7.96748,0.37448,1319.0740159664638,9209.7900390625,4.532546549214804
11,11,huffman-txt-small-low-12,1.705800274522647,1.0,3731.478515625,6.81547,0.247445,2212.6180570719257,9018.3544921875,4.650095302069016
12,12,huffman-txt-small-low-13,1.7499716438577864,1.0,3751.5771484375,7.770469999999999,0.352755,1368.653194877072,8753.869140625,4.523423574484356
13,13,huffman-txt-small-low-14,1.7506621690809347,2.0,4097.8251953125,10.06075,0.2355066666666666,1729.4972089364755,9556.7724609375,4.52961688696082
14,14,huffman-txt-small-low-15,1.7494835809107203,1.0,4240.54296875,6.74606,0.2397949999999999,2621.3870242720304,9898.49609375,4.528501124493786
15,15,huffman-txt-small-low-16,1.7458898741546869,1.0,3903.509765625,6.79233,0.244895,2346.6946019336774,9136.869140625,4.537719819600113
16,16,huffman-txt-small-low-17,1.747591402439597,1.0,3806.984375,6.79233,0.2449,2288.619171297312,8899.3173828125,4.533684782253871
17,17,huffman-txt-small-low-18,1.7494144067545498,1.0,3877.6875,6.76873,0.2422949999999999,2364.401160380673,9051.9775390625,4.529191768780674
18,18,huffman-txt-small-low-19,1.7528719983576544,1.0,3577.767578125,6.7692,0.242345,2180.9249178071027,8329.9267578125,4.524251838652151
19,19,huffman-txt-small-low-20,1.752377899981978,1.0,3771.12890625,6.7692,0.242345,2298.7935410308314,8783.4091796875,4.523016527868658
20,20,huffman-txt-small-low-21,1.7479437154283053,1.0,3755.0185546875,6.79137,0.24479,2258.712852758804,8775.474609375,4.531939030184355
21,21,huffman-txt-small-low-22,1.7462856771701587,1.0,4129.1337890625,6.79326,0.245,2480.930702239561,9662.046875,4.537201416198372
22,22,huffman-txt-small-low-23,1.7497299850976216,1.0,3834.1279296875,6.76775,0.24219,2339.1931566152307,8948.1396484375,4.528428865083361
23,23,huffman-txt-small-low-24,1.751193480911442,1.0,3649.0947265625,6.79233,0.2449,2193.701714126646,8506.82421875,4.528501459714171
24,24,huffman-txt-small-low-25,1.7539954000869762,1.0,3553.94921875,6.79233,0.2449,2136.503729634654,8267.4384765625,4.511930014847657
25,25,huffman-txt-small-low-26,1.7508307894548785,1.0,3632.2333984375,6.951029999999999,0.2623999999999999,1991.4103219791623,8469.8525390625,4.528660381386951
26,26,huffman-txt-small-low-27,1.7230487181491547,1.0,3450.5537109375,7.56734,0.330355,1380.2719439702516,8222.7822265625,4.59969901365638
27,27,huffman-txt-small-low-28,1.7530353180118887,1.0,4104.5263671875,6.815,0.2474,2434.43113868458,9555.1689453125,4.524492937303472
28,28,huffman-txt-small-low-29,1.746289158997352,1.0,3444.361328125,6.81546,0.24745,2042.3307350496243,8059.6787109375,4.536510172490831
29,29,huffman-txt-small-low-30,1.746658097195848,1.0,3248.0888671875,6.90615,0.25745,1826.8336384541512,7598.2578125,4.53721570156739
30,30,huffman-txt-small-low-31,1.7563272398074,1.0,3548.2021484375,6.81546,0.24745,2103.9030495293114,8239.560546875,4.51645517169153
31,31,huffman-txt-small-low-32,1.7491033896645647,1.0,3646.2666015625,6.62054,0.225955,2437.43503737524,8513.7744140625,4.529740435511766
32,32,huffman-txt-small-low-33,1.7477235560683333,1.0,3861.9052734375,6.74653,0.239845,2386.659655925352,9026.7890625,4.533895880616584
33,33,huffman-txt-small-low-34,1.727937636905811,1.0,3718.443359375,6.79233,0.2449,2235.3915649177848,8826.6328125,4.583243386916015
34,34,huffman-txt-small-low-35,1.7468344968767149,1.0,3424.83203125,6.81546,0.24745,2030.75085726037,8010.6298828125,4.5345441355701075
35,35,huffman-txt-small-low-36,1.7480654974637728,1.0,3939.943359375,6.79233,0.2449,2368.549228965816,9206.7861328125,4.5297742139586
36,36,huffman-txt-small-low-37,1.7476292855998536,1.0,3796.2578125,6.81546,0.24745,2250.9874168345764,8873.9853515625,4.537381900365229
37,37,huffman-txt-small-low-38,1.744383569403953,1.0,3593.0537109375,6.79137,0.24479,2161.288014786561,8419.9384765625,4.5454460330620465
38,38,huffman-txt-small-low-39,1.750229246223682,1.0,3182.3076171875,6.79233,0.2449,1913.086449602457,7424.087890625,4.526751396105274
39,39,huffman-txt-small-low-40,1.75167989532372,1.0,3361.603515625,6.81546,0.24745,1993.259569764468,7833.724609375,4.5174391513686585
40,40,huffman-txt-small-low-41,1.7440662281150454,1.0,3416.375,6.81546,0.24745,2025.7362687187688,8007.8681640625,4.539784208462193
41,41,huffman-txt-small-low-42,1.748658902101917,1.0,3188.6376953125,6.8386,0.25,1865.082148575732,7447.7705078125,4.525226721606541
42,42,huffman-txt-small-low-43,1.748000049218085,1.0,3918.1484375,7.48822,0.321635,1626.818069716572,9156.314453125,4.533891969956994
43,43,huffman-txt-small-low-44,1.7463326967278288,1.0,4095.6376953125,6.81546,0.24745,2428.504430259056,9583.3212890625,4.540307422039156
44,44,huffman-txt-small-low-45,1.7439992870629015,1.0,3807.3974609375,6.815,0.2474,2258.2013384911074,8924.8720703125,4.543587133680674
45,45,huffman-txt-small-low-46,1.7517638834477471,1.0,4042.119140625,6.88486,0.255105,2301.415457996318,9418.9658203125,4.527538252085376
46,46,huffman-txt-small-low-47,1.7521947118539971,2.0,4286.6416015625,10.23476,0.2483,1686.7968905362725,9985.4873046875,4.524642942946203
47,47,huffman-txt-small-low-48,1.751839113845278,1.0,4292.25390625,6.79233,0.2449,2580.345388971953,10001.259765625,4.524177554658124
48,48,huffman-txt-small-low-49,1.749584177314486,1.0,3140.1201171875,6.79233,0.2449,1887.724874198275,7329.26953125,4.522619734467918
49,49,huffman-txt-small-low-50,1.7487531462080543,1.0,4086.896484375,6.79233,0.2449,2456.89204995705,9545.166015625,4.534564790132416
50,50,huffman-txt-small-high-1,1.689858284287323,2.0,3993.8193359375,10.16438,0.2431266666666666,1616.1249181361777,9783.15234375,4.689617998329025
51,51,huffman-txt-small-high-2,1.6845512617531555,2.0,4638.2646484375,10.23476,0.2483,1825.1608400424425,11413.892578125,4.703584150698666
52,52,huffman-txt-small-high-3,1.6797067855367198,1.0,3897.0703125,6.79137,0.24479,2344.159602609758,9630.5283203125,4.716730331137525
53,53,huffman-txt-small-high-4,1.679736765506714,2.0,4221.26953125,10.23569,0.2483666666666666,1660.4761807622108,10431.4228515625,4.716358312734139
54,54,huffman-txt-small-high-5,1.6758105494711175,1.0,3850.458984375,6.79233,0.2449,2314.754509580723,9548.0009765625,4.729900630974012
55,55,huffman-txt-small-high-6,1.6773962612279882,2.0,4417.8203125,10.23476,0.2483,1738.415817957981,10939.5869140625,4.72290578549288
56,56,huffman-txt-small-high-7,1.6841971164078489,2.0,4156.5322265625,11.16573,0.3167366666666666,1175.2917516562547,10231.5830078125,4.705352269212145
57,57,huffman-txt-small-high-8,1.684483584348075,2.0,4092.251953125,10.89084,0.2965266666666666,1267.176853159847,10070.849609375,4.704484840465455
58,58,huffman-txt-small-high-9,1.681487641986296,2.0,4143.525390625,10.28007,0.25163,1601.8118969958148,10223.6435546875,4.712595678323376
59,59,huffman-txt-small-high-10,1.6721133861888593,2.0,3996.53125,10.20972,0.24646,1588.2648962609562,9942.7470703125,4.737927081289941
60,60,huffman-txt-small-high-11,1.6863032313410533,2.0,4783.681640625,10.35043,0.2568033333333333,1799.7128600459323,11753.8974609375,4.699028969379407
61,61,huffman-txt-small-high-12,1.6814642317949045,1.0,3805.4140625,6.81546,0.24745,2256.4166064611413,9389.5869140625,4.710149967787571
62,62,huffman-txt-small-high-13,1.669836644487505,1.0,3939.2275390625,6.79233,0.2449,2368.118904086852,9820.10546875,4.745199811803102
63,63,huffman-txt-small-high-14,1.6766786950833414,1.0,4013.96484375,6.81546,0.24745,2380.0765915177467,9945.8271484375,4.726407929383119
64,64,huffman-txt-small-high-15,1.6784146333237224,1.0,3830.427734375,6.79137,0.24479,2304.072863873404,9476.5732421875,4.7201472144534895
65,65,huffman-txt-small-high-16,1.672831460473567,1.0,3901.3271484375,6.7456,0.2397449999999999,2412.360598914966,9699.69921875,4.736101809803629
66,66,huffman-txt-small-high-17,1.6784703733352175,1.0,3591.3232421875,6.79137,0.24479,2160.247105946831,8884.587890625,4.719438832079745
67,67,huffman-txt-small-high-18,1.6816718965488449,2.0,4225.4990234375,10.21117,0.2465633333333333,1678.3170491872424,10424.2275390625,4.710545681781429
68,68,huffman-txt-small-high-19,1.681164274947349,1.0,3920.0478515625,6.791869999999999,0.244845,2357.277788469932,9674.970703125,4.709892003917137
69,69,huffman-txt-small-high-20,1.6803356013260091,1.0,3984.1083984375,6.7692,0.242345,2428.6209463473747,9840.201171875,4.717265146130867
70,70,huffman-txt-small-high-21,1.6857501334083178,1.0,3820.0380859375,6.76919,0.2423449999999999,2328.6108933079618,9390.6357421875,4.700139394665344
71,71,huffman-txt-small-high-22,1.6819557124854088,1.0,3784.30078125,7.5257,0.3257649999999999,1543.5984130027457,9333.4892578125,4.711103788454313
72,72,huffman-txt-small-high-23,1.686808349813698,2.0,4262.734375,11.05048,0.3082633333333333,1251.368613852694,10469.3193359375,4.698443699091778
73,73,huffman-txt-small-high-24,1.67615098048833,2.0,4011.771484375,10.21067,0.2465266666666666,1593.7420929556806,9945.01953125,4.7256981134590434
74,74,huffman-txt-small-high-25,1.6660026541207396,1.0,3820.3349609375,6.86173,0.25255,2204.552495507837,9556.55078125,4.755519307722787
75,75,huffman-txt-small-high-26,1.671455089553841,1.0,3756.76171875,6.7692,0.242345,2290.0356336113737,9351.7177734375,4.738789143023671
76,76,huffman-txt-small-high-27,1.6743140717801517,2.0,3956.8486328125,10.30811,0.2536933333333333,1513.0780732231246,9824.8095703125,4.732323200338088
77,77,huffman-txt-small-high-28,1.6811168505299017,1.0,4002.2685546875,6.791869999999999,0.244845,2406.7203066656443,9878.306640625,4.712777318084746
78,78,huffman-txt-small-high-29,1.6694685500190396,1.0,3617.47265625,6.81546,0.24745,2144.976930478665,9020.9716796875,4.7467745890506094
79,79,huffman-txt-small-high-30,1.6752163541799203,1.0,3612.103515625,6.8386,0.25,2112.773676264148,8961.6533203125,4.730070304392806
80,80,huffman-txt-small-high-31,1.6764009041312262,1.0,3783.86328125,6.81546,0.24745,2243.6380914569777,9377.9765625,4.724347869590073
81,81,huffman-txt-small-high-32,1.6781625353126928,1.0,3952.72265625,6.79137,0.24479,2377.635512857221,9781.2998046875,4.720264424383906
82,82,huffman-txt-small-high-33,1.6778501180561685,1.0,3652.2412109375,6.791869999999999,0.244845,2196.2352018855786,9040.21875,4.722953102875588
83,83,huffman-txt-small-high-34,1.6890883105649752,2.0,4260.2763671875,10.21163,0.2466,1691.8023746611452,10442.7587890625,4.6905051100214665
84,84,huffman-txt-small-high-35,1.680159556286224,1.0,3693.9990234375,6.76919,0.2423449999999999,2251.7802630060664,9125.076171875,4.715523008634689
85,85,huffman-txt-small-high-36,1.6723487709370048,2.0,4133.7177734375,11.66168,0.3531933333333333,1003.6151408369404,10281.892578125,4.734482887460737
86,86,huffman-txt-small-high-37,1.695171817512621,1.0,3899.2431640625,6.81546,0.24745,2312.0524819421566,9508.2783203125,4.674161430333439
